Country,Year,GDP_Growth,Inflation,FDI,Tourist_Arrivals,POP,Employment
BRA,2003,1.14082899877101,14.7149197228147,10123013670.99,4133000.0,180622688.0,59.427
BRA,2004,5.75996463685998,6.59718509985963,18161380459.7533,4794000.0,182675143.0,60.579
BRA,2005,3.20213206216255,6.86953720898964,15459981604.1196,5358000.0,184688101.0,60.87
BRA,2006,3.96198870899485,4.18356812896909,19418085598.0793,5017000.0,186653106.0,61.143
BRA,2007,6.06987060733128,3.64127299102652,44579492463.6336,5026000.0,188552320.0,61.05
BRA,2008,5.09419544811998,5.67859390284168,50716402711.4787,5050000.0,190367302.0,61.619
BRA,2009,-0.12581200299141,4.88803479876799,31480931700.0,4802000.0,192079951.0,61.052
BRA,2010,7.52822581812151,5.03872690108075,82389932468.07,5161000.0,193701929.0,60.574
BRA,2011,3.97442307944702,6.6364496221309,102427228231.42,5433000.0,195284734.0,59.955
BRA,2012,1.92117598509462,5.40349914036997,92568388321.34,5677000.0,196876111.0,59.739
BRA,2013,3.0048226702888,6.20431066640101,75211029129.4,5813000.0,198478299.0,59.766
BRA,2014,0.503955740273241,6.32904015516139,87713983217.24,6430000.0,200085127.0,59.714
BRA,2015,-3.54576339347278,9.02990102416136,64738153494.44,6306000.0,201675532.0,58.787
BRA,2016,-3.2759169063211,8.73914352329393,74294627801.19,6547000.0,203218114.0,56.845
BRA,2017,1.32286905390815,3.44637335032669,68885491315.23,6589000.0,204703445.0,56.271
BRA,2018,1.78366676137003,3.66485028376729,78183840044.98,6621000.0,206107261.0,56.549
BRA,2019,1.22077782271943,3.73297621216894,69174411753.45,6353000.0,207455459.0,57.142
BRA,2020,-3.27675879612903,3.21176803803376,38270116307.45,,208660842.0,52.195
BRA,2021,4.7626043797061,8.30165975585673,46440503520.19,,209550294.0,54.238
BRA,2022,3.01669435408112,9.28010608956873,75501038733.31,,210306415.0,57.663
BRA,2023,3.24165532813583,4.59356282283204,62750364285.48,,211140729.0,57.915
BRA,2024,3.41931516597739,4.36746407652337,74090786050.19,,211998573.0,57.917
DEU,2003,-0.529801394291297,1.03422218628562,65401516009.2492,18399000.0,82534176.0,52.19
DEU,2004,1.16208684507278,1.66573696655992,-20408419557.1429,20137000.0,82516260.0,51.294
DEU,2005,0.885485292551564,1.54691114751328,59835195025.1916,21500000.0,82469422.0,51.803
DEU,2006,3.86668241523209,1.57742642840563,87444159239.0628,23569000.0,82376451.0,52.934
DEU,2007,2.8891174138025,2.29834400700951,50847183837.0148,24421000.0,82266372.0,53.907
DEU,2008,0.887902330743628,2.62837981637219,30954735498.0249,24884000.0,82110097.0,54.651
DEU,2009,-5.54455451920674,0.312739007368447,56701916794.9699,24220000.0,81902307.0,54.545
DEU,2010,4.13463778522758,1.1038103778926,86037502102.1644,26875000.0,81776930.0,55.134
